                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 0.9401,                 1.0861,                 1.3045,                0.78666,                0.33516,                0.30837,                0.19934,                 1.3409,                  1.486,                 1.7852,              0.0007822,              0.0007822,              0.0007822
                     46,                0.95882,                 1.0513,                 1.3028,                0.68781,                0.30306,                0.36715,                0.22873,                 1.2653,                 1.4188,                 1.7127,             0.00077725,             0.00077725,             0.00077725
                     47,                0.90651,                 1.0442,                 1.2992,                0.67758,                0.27586,                0.29888,                0.18119,                 1.2803,                 1.5017,                 1.7668,              0.0007723,              0.0007723,              0.0007723
                     48,                0.94968,                 1.0808,                 1.3234,                0.79687,                0.30495,                0.31086,                0.19712,                 1.2213,                 1.3795,                 1.6759,             0.00076735,             0.00076735,             0.00076735
                     49,                0.92897,                 1.0309,                  1.287,                0.63471,                0.34128,                0.33281,                0.20408,                 1.2578,                 1.3487,                 1.7072,              0.0007624,              0.0007624,              0.0007624
                     50,                0.92206,                0.99762,                 1.2783,                0.75291,                0.28386,                0.34399,                0.20188,                 1.2407,                 1.3933,                 1.7267,             0.00075745,             0.00075745,             0.00075745
                     51,                0.90044,                0.99743,                 1.2616,                0.78353,                0.34058,                0.37298,                0.26841,                 1.1446,                 1.3099,                 1.6341,              0.0007525,              0.0007525,              0.0007525
                     52,                0.92138,                0.98084,                 1.2821,                0.69545,                0.34454,                0.36423,                0.24714,                 1.1059,                 1.3224,                 1.5985,             0.00074755,             0.00074755,             0.00074755
                     53,                0.85954,                0.96275,                 1.2463,                0.67714,                0.34829,                0.34518,                0.21204,                 1.1899,                 1.4028,                 1.6329,              0.0007426,              0.0007426,              0.0007426
                     54,                0.87531,                0.94588,                 1.2655,                0.73424,                0.24459,                0.31365,                0.21114,                 1.1875,                 1.4506,                 1.6323,             0.00073765,             0.00073765,             0.00073765
                     55,                0.87216,                0.97053,                 1.2551,                0.63434,                0.33526,                0.32153,                0.20716,                 1.2417,                 1.4668,                 1.6857,              0.0007327,              0.0007327,              0.0007327
                     56,                0.85681,                0.95544,                 1.2627,                0.63976,                 0.2445,                0.25224,                0.15306,                 1.2925,                 1.4404,                 1.7527,             0.00072775,             0.00072775,             0.00072775
